Typ ; Linje ; JourneyID ; Dagar ; JourneyIDRef
3 ; Buss 3 ; 9015014675300008 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=364875%2F130280%2F417778%2F87267%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110007%26station_type%3Ddep%26format%3Djson%26"}
2 ; Buss 2 ; 9015014675200010 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=74343%2F40827%2F890068%2F420255%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110012%26station_type%3Ddep%26format%3Djson%26"}
2 ; Buss 2 ; 9015014675200009 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=233331%2F96471%2F367690%2F106070%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110006%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103028 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=3351%2F14440%2F925398%2F461583%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110004%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014110313146 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=626205%2F221873%2F312874%2F52298%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110003%26station_type%3Ddep%26format%3Djson%26"}
730 ; Buss 730 ; 9015014673000008 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=6333%2F2520%2F386162%2F190973%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110008%26station_type%3Ddep%26format%3Djson%26"}
742 ; Buss 742 ; 9015014674200008 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=95616%2F34864%2F95464%2F15860%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110010%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103180 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=950205%2F330077%2F762632%2F64581%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110004%26station_type%3Ddep%26format%3Djson%26"}
731 ; Buss 731 ; 9015014673100012 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=917436%2F306232%2F326186%2F142724%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110008%26station_type%3Ddep%26format%3Djson%26"}
734 ; Buss 734 ; 9015014673400012 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=500988%2F167478%2F187876%2F73063%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110015%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Öresundståg ; 9015030110120155 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=870954%2F291586%2F374894%2F102873%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110002%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Öresundståg ; 9015030110111002 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=571344%2F191712%2F542466%2F80785%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110003%26station_type%3Ddep%26format%3Djson%26"}
732 ; Buss 732 ; 9015014673200010 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=816177%2F272494%2F207072%2F168526%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110009%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100011 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=196590%2F68568%2F578248%2F223599%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110005%26station_type%3Ddep%26format%3Djson%26"}
